module_name,class_name,method_name,startLine,CBM,m_FAN_IN,m_FAN_OUT,IDMC,EDMC,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,m_variablesQty,parametersQty,m_modifier
org.apache.servicecomb.common.javassist,org.apache.servicecomb.common.javassist.JavassistUtils,org.apache.servicecomb.common.javassist.JavassistUtils.genMultiWrapperInterface,256,3,2,1,2,1,False,0,8,2,0,1
org.apache.servicecomb.common.javassist,org.apache.servicecomb.common.javassist.JavassistUtils,org.apache.servicecomb.common.javassist.JavassistUtils.genSingleWrapperInterface,270,3,2,1,2,1,False,0,8,2,0,1
org.apache.servicecomb.common.javassist,org.apache.servicecomb.common.javassist.JavassistUtils,org.apache.servicecomb.common.javassist.JavassistUtils.genReadFieldsMethodSource,284,1,0,1,1,0,False,0,1,0,0,4
org.apache.servicecomb.common.javassist,org.apache.servicecomb.common.javassist.JavassistUtils,org.apache.servicecomb.common.javassist.JavassistUtils.genWriteFieldsMethodSource,303,2,0,2,2,0,False,0,3,0,0,5
org.apache.servicecomb.common.javassist,org.apache.servicecomb.common.javassist.JavassistUtils,org.apache.servicecomb.common.javassist.JavassistUtils.genReadFieldMethodSource,322,1,0,1,1,0,False,0,1,0,0,2
org.apache.servicecomb.common.javassist,org.apache.servicecomb.common.javassist.MethodConfig,org.apache.servicecomb.common.javassist.MethodConfig.addParameter,71,3,3,0,2,1,False,0,1,1,0,0
org.apache.servicecomb.common.javassist,org.apache.servicecomb.common.javassist.MethodConfig,org.apache.servicecomb.common.javassist.MethodConfig.setBodySource,82,1,1,0,1,0,False,0,0,0,0,0
org.apache.servicecomb.common.javassist,org.apache.servicecomb.common.javassist.MethodConfig,org.apache.servicecomb.common.javassist.MethodConfig.init,86,3,1,2,3,0,False,0,10,0,0,5
org.apache.servicecomb.common.javassist,org.apache.servicecomb.common.javassist.MethodConfig,org.apache.servicecomb.common.javassist.MethodConfig.getSource,43,1,1,0,1,0,False,0,0,0,0,0
org.apache.servicecomb.common.javassist,org.apache.servicecomb.common.javassist.MethodConfig,org.apache.servicecomb.common.javassist.MethodConfig.setSource,47,1,1,0,1,0,False,0,0,0,0,0
org.apache.servicecomb.common.javassist,org.apache.servicecomb.common.javassist.MethodConfig,org.apache.servicecomb.common.javassist.MethodConfig.getGenericSignature,51,1,1,0,1,0,False,0,0,0,0,0
org.apache.servicecomb.common.javassist,org.apache.servicecomb.common.javassist.MethodConfig,org.apache.servicecomb.common.javassist.MethodConfig.setGenericSignature,55,1,1,0,1,0,False,0,0,0,0,0
org.apache.servicecomb.common.javassist,org.apache.servicecomb.common.javassist.MethodConfig,org.apache.servicecomb.common.javassist.MethodConfig.setName,59,3,3,0,2,1,False,0,0,0,0,0
org.apache.servicecomb.common.javassist,org.apache.servicecomb.common.javassist.MethodConfig,org.apache.servicecomb.common.javassist.MethodConfig.setResult,67,0,0,0,0,0,False,0,0,0,0,0
org.apache.servicecomb.common.javassist,org.apache.servicecomb.common.javassist.ParameterConfig,org.apache.servicecomb.common.javassist.ParameterConfig.getName,24,1,1,0,1,0,False,0,0,0,0,0
org.apache.servicecomb.common.javassist,org.apache.servicecomb.common.javassist.ParameterConfig,org.apache.servicecomb.common.javassist.ParameterConfig.setName,28,1,1,0,1,0,False,0,0,0,0,0
org.apache.servicecomb.common.javassist,org.apache.servicecomb.common.javassist.ParameterConfig,org.apache.servicecomb.common.javassist.ParameterConfig.getType,32,1,1,0,1,0,False,0,0,0,0,0
org.apache.servicecomb.common.javassist,org.apache.servicecomb.common.javassist.ParameterConfig,org.apache.servicecomb.common.javassist.ParameterConfig.setType,36,1,1,0,1,0,False,0,0,0,0,0
org.apache.servicecomb.common.javassist,org.apache.servicecomb.common.javassist.StdScopedClassPool,org.apache.servicecomb.common.javassist.StdScopedClassPool.getCached,36,0,0,0,0,0,False,0,0,0,0,0
org.apache.servicecomb.common.javassist,org.apache.servicecomb.common.javassist.StdScopedClassPool,org.apache.servicecomb.common.javassist.StdScopedClassPool.StdScopedClassPool,31,0,0,0,0,0,False,0,0,0,0,0
org.apache.servicecomb.common.javassist,org.apache.servicecomb.common.javassist.StdScopedClassPoolFactory,org.apache.servicecomb.common.javassist.StdScopedClassPoolFactory.create,25,0,0,0,0,0,False,0,0,0,0,0
