project name,version,#commit,,,#change_Loc,,,#author,,
,,mc(A),mc(B),average(P),mc(A),mc(B),average(P),mc(A),mc(B),average(P)
,v0.9.1,0.018277113,0.006281529,2.909659893,1.207902164,0.940580132,1.284209737,0.001343905,0.000315289,4.262454447
,v0.10.0,0.018493701,0.006059796,3.051868578,1.207853122,0.967740498,1.248116747,0.001340123,0.000356459,3.759543173
,v0.10.1,0.018493701,0.00609729,3.033101755,1.207853122,0.970403667,1.244691424,0.001340123,0.000356046,3.763904102
,v0.10.2,0.018493701,0.00609729,3.033101755,1.207853122,0.970403667,1.244691424,0.001340123,0.000356046,3.763904102
,v0.11.0,0.019675926,0.006439862,3.055333484,1.24215535,1.028491511,1.207744874,0.001929012,0.000455344,4.236383921
,v1.0.0,0.01984381,0.006465287,3.069285246,1.267955447,1.030699407,1.230189363,0.001920369,0.000449573,4.271539883
,v1.1.0,0.020778571,0.006634596,3.131851736,1.281261735,1.041030267,1.230763193,0.002127926,0.000501102,4.24649273
,v1.1.1,0.020778571,0.006634596,3.131851736,1.281261735,1.041030267,1.230763193,0.002127926,0.000501102,4.24649273
,v1.1.2,0.020778571,0.00665384,3.122793905,1.281261735,1.041025333,1.230769026,0.002127926,0.000521084,4.08365254
,v1.2.0,0.020854022,0.00686062,3.039670176,1.289846077,1.047706167,1.231114331,0.002110228,0.000616462,3.42312746
,v1.3.0,0.021821285,0.007008638,3.113484389,1.396074607,1.112384452,1.255028875,0.002438132,0.000719806,3.387207109
,v1.4.0,0.021868546,0.0071838,3.044147387,1.396671121,1.114205445,1.2535131,0.002429838,0.000754205,3.221720885
,v1.5.0,0.023309179,0.00770348,3.0257986,1.410990338,1.12603188,1.25306429,0.002898551,0.000956041,3.031827087
,v1.5.1,0.023429952,0.007721866,3.034234471,1.41147343,1.126178963,1.253329601,0.002898551,0.000956041,3.031827087
,v1.6.0,0.024698723,0.007720607,3.199064918,1.427037346,1.143582569,1.247865598,0.003698843,0.001019051,3.629693705
,v1.6.1,0.024698723,0.007737879,3.191924169,1.427037346,1.143617113,1.247827905,0.003698843,0.001019051,3.629693705
,v1.6.2,0.024698723,0.007742047,3.190205769,1.427037346,1.143529615,1.247923383,0.003698843,0.001017329,3.635837571
,v1.7.0,0.025179433,0.007870573,3.199186768,1.426285445,1.151710336,1.238406395,0.004118132,0.001093135,3.767267538
,v1.7.1,0.025179433,0.007770948,3.240200938,1.426285445,1.151906285,1.238195731,0.004118132,0.001076997,3.823717243
,v1.7.2,0.025179433,0.007770948,3.240200938,1.426285445,1.151906285,1.238195731,0.004118132,0.001076997,3.823717243
,v1.8.0,0.025475464,0.007898792,3.225235454,1.435196055,1.161430541,1.235714065,0.004108946,0.001086692,3.781150501
,v1.8.1,0.025475464,0.007914883,3.218678533,1.435196055,1.161460361,1.235682339,0.004108946,0.001086674,3.781213133
,v1.8.2,0.025475464,0.007914883,3.218678533,1.435196055,1.161460361,1.235682339,0.004108946,0.001086674,3.781213133
,v1.9.0,0.023766958,0.006638919,3.579943964,1.407719003,1.141306846,1.233427284,0.004101378,0.000970304,4.226900023
,v1.9.1,0.023766958,0.006651856,3.572981436,1.407719003,1.141412594,1.233313011,0.004101378,0.000970328,4.226795475
,v1.9.2,0.023766958,0.006695575,3.549651524,1.407719003,1.141678357,1.233025917,0.004101378,0.000969264,4.231435398
,v2.0.0-RC1,0.025663238,0.006903753,3.717287974,1.470492691,1.202223451,1.223144241,0.00498105,0.001142436,4.360025419
